a oldal;b oldal;c oldal
103;83;125
102;159;36
164;20;65
23;34;132
60;47;173
45;125;63
108;170;172
196;144;69
90;165;162
184;177;60
181;174;58
151;119;55
81;64;137
77;108;77
128;166;188
94;112;154
107;136;173
195;84;21
43;73;71
167;60;105
122;101;145
46;70;109
197;167;125
153;56;180
84;63;33
123;54;183
61;116;149
180;41;194
161;26;52
47;152;82
33;132;120
49;65;198
183;189;190
71;185;75
85;81;144
134;35;102
142;194;42
77;86;73
50;132;167
80;94;199
123;108;87
160;40;170
63;200;166
55;31;145
49;70;141
140;40;71
149;53;107
38;82;37
124;136;171
91;54;120
150;178;47
22;187;184
72;100;183
47;185;52
83;23;27
68;83;88
168;176;81
45;175;97
125;167;83
172;129;146
86;82;192
170;136;167
187;200;75
140;173;78
41;72;73
92;191;75
83;192;80
46;104;128
63;55;191
192;57;61
186;44;142
75;41;170
147;145;114
20;91;161
110;56;29
98;87;29
132;109;149
89;79;46
88;131;134
103;40;58
181;36;26
103;145;151
187;188;32
27;198;172
129;42;187
149;143;60
146;30;196
130;199;65
152;21;89
73;37;59
134;28;27
56;162;143
51;189;66
153;48;174
89;94;107
163;72;63
59;72;175
142;43;170
138;70;189
184;135;174
177;49;66
100;141;37
121;71;128
171;111;69
50;126;85
107;199;31
183;50;62
57;22;104
44;91;185
160;77;27
159;93;125
78;37;189
43;150;151
63;139;132
142;133;45
101;67;64
106;118;130
188;91;91
66;183;192
143;53;107
153;129;151
87;188;139
61;107;78
70;116;39
193;104;171
60;132;131
93;172;73
102;41;47
98;177;95
144;81;195
168;38;35
144;92;199
63;21;49
171;41;34
38;148;64
132;90;32
23;192;81
52;165;191
141;171;75
97;62;155
26;123;89
116;140;30
166;40;46
153;75;118
146;176;179
60;101;89
114;180;130
93;110;93
185;146;179
98;91;195
165;182;68
68;184;97
22;190;131
140;102;39
175;146;134
129;56;44
44;161;102
32;123;176
89;154;44
68;138;112
139;95;54
78;103;119
165;117;22
140;177;168
141;136;93
67;64;199
52;110;27
57;68;68
91;152;27
200;97;33
114;51;94
166;200;101
40;93;20
