Memoria	Bekapcsolva
536870912	x
268435456	x
1048576	-
32768	-
131072	-
268435456	x
262144	-
8388608	x
2097152	x
131072	-
8388608	-
65536	x
1048576	x
8388608	x
2097152	-
65536	-
2048	x
262144	x
1048576	x
4194304	x
262144	-
32768	x
67108864	-
16384	x
16777216	x
1073741824	-
4096	x
2097152	-
536870912	x
32768	x
1048576	x
33554432	-
536870912	x
4194304	-
8388608	x
536870912	x
2048	x
8192	x
8388608	-
131072	x
134217728	x
131072	x
67108864	x
2048	-
536870912	x
32768	x
16777216	x
4194304	-
131072	x
1024	x
65536	x
1024	-
65536	x
8388608	-
134217728	x
131072	-
32768	x
2097152	x
8192	x
2048	x
32768	-
67108864	-
2048	x
16384	-
2048	x
1048576	x
1024	x
67108864	-
65536	x
2048	x
1024	x
262144	x
536870912	-
2048	-
67108864	x
8388608	x
